contractor,month,row,level,block,waste,CF2,CF3,cr-cf2,cr-cf3,cr-oxid,cr-sum,CF3-LP,OXID,ton,sum
700,4,31,1165,E14727-1165,254,94,2,1,0,0,1,0,0,36555,351
700,4,32,1285,E14676-1285T,730,0,0,0,0,0,0,0,0,73000,730
700,4,33,1285,E14722-1285T,431,14,0,0,0,0,0,0,0,44710,445
700,4,34,1165,E14730-1165,461,93,9,10,0,0,10,0,0,58980,573
700,4,35,1285,E14734-1285,340,0,0,0,0,0,0,0,0,34000,340
700,4,36,1150,E14748-1150,137,0,0,0,0,0,0,0,0,13700,137
700,4,37,1150,E14736-1150,411,57,0,0,0,0,0,0,0,47655,468
700,4,38,1285,E14746-1285,47,3,0,0,0,0,0,0,0,5045,50
700,4,39,1165,E14685-1165M,50,82,33,4,11,0,15,0,0,19950,180
700,4,40,1240,E14625-1240,2,0,0,0,0,0,0,0,0,200,2
700,4,41,1240,E14691-1240,176,0,0,0,0,0,0,0,0,17600,176
700,4,42,1165,E14679-1165,45,194,33,1,1,0,2,0,0,30755,274
700,4,43,1240,E14689-1240,165,34,0,0,0,0,0,0,0,20350,199
700,4,44,1150,E14771-1150,56,0,0,0,0,0,0,0,0,5600,56
700,5,1,1510,Other-1510,278,0,0,0,0,0,0,0,0,27800,278
700,5,2,1285,other-1285,16,0,0,0,0,0,0,0,0,1600,16
700,5,3,1420,other-1420,27,0,0,0,0,0,0,0,0,2700,27
700,5,4,1405,other-1405,982,0,0,0,0,0,0,0,0,98200,982
700,5,5,1450,West-Dump,36,0,0,0,0,0,0,0,0,3600,36
700,5,6,1195,Other-1195,21,0,0,0,0,0,0,0,0,2100,21
700,5,7,1150,Other-1150,46,0,0,0,0,0,0,0,0,4600,46
700,5,8,1135,other-1135,0,6,40,0,0,0,0,0,0,4830,46
700,5,9,1165,E14628-1165M,81,167,151,56,201,0,257,0,0,68475,656
700,5,10,1165,E14663-1165,140,38,95,22,77,0,99,0,0,38360,372
700,5,11,1165,E14635-1165M,8,3,169,0,281,0,281,0,0,48365,461
700,5,12,1285,E14696-1285T,8,9,0,0,0,0,0,0,0,1745,17
700,5,13,1165,E14701-1165,0,3,330,0,74,0,74,0,0,42735,407
700,5,14,1165,E14727-1165,55,15,0,12,0,0,12,0,0,8335,82
700,5,15,1150,E14748-1150,112,40,0,19,0,0,19,0,0,17395,171
700,5,16,1285,E14746-1285,214,0,0,0,0,0,0,0,0,21400,214
700,5,17,1165,E14685-1165M,100,30,36,0,0,0,0,0,0,16930,166
700,5,18,1165,E14679-1165,67,96,73,208,54,0,262,0,0,51955,498
700,5,19,1240,E14689-1240,15,0,0,0,0,0,0,0,0,1500,15
700,5,20,1150,E14771-1150,122,0,0,0,0,0,0,0,0,12200,122
700,5,21,1255,E14760-1255,30,0,0,0,0,0,0,0,0,3000,30
700,5,22,1285,E14780-1285,121,0,0,0,0,0,0,0,0,12100,121
700,5,23,1285,E14773-1285T,54,0,0,0,0,0,0,0,0,5400,54
700,5,24,1285,E14745-1285,318,7,0,0,0,0,0,0,0,32535,325
700,5,25,1285,E14785-1285,175,0,0,0,0,0,0,0,0,17500,175
700,5,26,1255,E14779-1255,346,0,0,0,0,0,0,0,0,34600,346
700,5,27,1285,E14775-1285,291,0,0,0,0,0,0,0,0,29100,291
